data,Data,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12
2002-01-01,2002-01-31,0.27,0.28,0.36,0.34,0.42,0.76,0.52,0.3,0.37,0.35,0.31,0.35
2002-02-01,2002-02-28,0.3,0.34,0.32,0.41,0.76,0.5,0.29,0.35,0.35,0.33,0.35,0.26
2002-03-01,2002-03-28,0.49,0.33,0.41,0.75,0.46,0.29,0.34,0.33,0.32,0.37,0.28,0.26
2002-04-01,2002-04-30,0.4,0.35,0.71,0.43,0.27,0.31,0.3,0.31,0.37,0.27,0.28,0.31
2002-05-01,2002-05-31,0.38,0.71,0.42,0.27,0.31,0.31,0.31,0.38,0.27,0.29,0.33,0.29
2002-06-01,2002-06-28,0.77,0.43,0.29,0.32,0.33,0.32,0.38,0.28,0.3,0.34,0.29,0.4
2002-07-01,2002-07-31,0.52,0.32,0.35,0.34,0.32,0.41,0.29,0.32,0.36,0.3,0.41,0.62
2002-08-01,2002-08-30,0.39,0.38,0.4,0.38,0.44,0.32,0.36,0.43,0.3,0.43,0.72,0.49
2002-09-01,2002-09-30,0.46,0.48,0.44,0.51,0.38,0.41,0.51,0.35,0.51,0.89,0.59,0.41
2002-10-01,2002-10-31,0.86,0.74,0.73,0.58,0.57,0.67,0.53,0.68,1.13,0.74,0.54,0.59
2002-11-01,2002-11-29,1.19,0.89,0.71,0.67,0.77,0.71,0.87,1.34,0.89,0.66,0.78,0.74
2002-12-01,2002-12-31,1.37,0.94,0.73,0.78,0.75,0.94,1.42,0.98,0.71,0.81,0.78,0.75
2003-01-01,2003-01-31,1.08,0.7,0.69,0.68,0.85,1.4,0.94,0.69,0.74,0.76,0.74,0.75
2003-02-01,2003-02-28,0.88,0.71,0.67,0.79,1.42,0.88,0.66,0.68,0.71,0.71,0.75,0.6
2003-03-01,2003-03-31,0.73,0.65,0.78,1.42,0.85,0.63,0.65,0.67,0.67,0.77,0.61,0.55
2003-04-01,2003-04-30,0.54,0.66,1.4,0.8,0.57,0.58,0.63,0.62,0.81,0.63,0.53,0.57
2003-05-01,2003-05-30,0.56,1.31,0.74,0.55,0.58,0.65,0.61,0.75,0.61,0.49,0.58,0.43
2003-06-01,2003-06-30,1.09,0.67,0.48,0.53,0.6,0.57,0.71,0.57,0.46,0.56,0.42,0.53
2003-07-01,2003-07-31,0.58,0.46,0.5,0.58,0.55,0.67,0.56,0.44,0.54,0.42,0.49,0.8
2003-08-01,2003-08-29,0.51,0.5,0.55,0.52,0.64,0.53,0.43,0.51,0.39,0.47,0.75,0.55
