data,s7456,s190,s189,s191,s7450,s16121,s27864,s7470,s28506,s29041,s28549,s28529,s1373,s4380,s27841,s28763,s28772,s4189,s15891,s3697,s13575,s13576
2010-01-01,0.28436017,0.7425743,0.5423198,0.76666665,0.494577,0.48979586,0.47320062,0.99999994,0.47194856,0.5674319,0.33575758,0.4717195,0.42868167,0.022465885,0.5006105,0.88303304,0.7419918,0.42468616,1.0,0.5396707,0.248296,0.3409399
2010-02-01,0.20379147,0.7689769,0.71473354,0.4761905,0.691974,0.5510204,0.46248084,0.414966,0.57266,0.32632828,0.4684052,0.77860034,0.4936216,0.35043603,0.54106253,0.90215945,0.845674,0.42468616,0.9545455,0.62696135,0.7173028,0.500701
2010-03-01,0.25118482,0.61716175,0.6394985,0.5619048,0.6160521,0.37414962,0.5972435,0.13605441,0.7398747,0.17561194,0.3355407,1.0,0.9090446,0.9999999,0.733662,0.9731908,0.9007909,0.42468616,0.87603307,0.30173802,0.9136685,0.8134504
2010-04-01,0.59241706,0.6468647,0.5862069,0.51428574,0.54013014,0.37414962,0.575804,0.13945577,0.62225056,0.34537873,0.36124367,0.2149351,0.2586596,0.25074047,0.5068173,0.99999994,0.83824515,0.43200842,0.83471084,0.37330392,0.4340978,0.40679923
2010-05-01,0.478673,0.9273927,0.7178683,0.25238097,0.7071583,0.46938777,0.27258807,0.20918366,0.54441494,0.27326763,0.4780625,0.43329114,0.58936524,0.4434477,0.586598,0.9962332,0.7977741,0.50313807,0.80991745,0.61483216,0.8529273,0.50508475
2010-06-01,0.8767773,0.5214521,0.6112853,0.052380957,0.6203905,0.3333333,0.01990813,0.2312925,0.57281405,0.3620505,0.54503596,0.6518289,0.40562615,0.38013086,0.46711987,0.8890485,0.7036644,0.55962336,0.731405,0.4373667,0.5226123,0.5270233
2010-07-01,0.33175358,0.48184818,0.39184955,0.052380957,0.4273319,0.25170067,0.082695276,0.26360542,0.55556136,0.6736362,0.33736503,0.6593038,0.50809425,0.57528466,0.6604139,0.8461422,0.7029775,0.5993724,0.69008267,0.35250154,0.5829217,0.5979153
2010-08-01,0.1421801,0.77227724,0.5862069,0.11428572,0.6529285,0.17006803,0.18836142,0.28061223,0.56894237,0.75500405,0.55518377,0.7079169,0.56017756,0.42663524,0.70637834,0.99548954,0.949474,0.6349373,0.6157024,0.42751968,0.7529419,0.55193955
2010-09-01,0.13270143,0.77227724,0.7053292,0.3714286,0.73101956,0.34013605,0.49617153,0.21768707,0.63751316,0.8861611,0.3469925,0.5552854,0.32293814,0.4386026,0.5165026,0.92404354,0.8088908,0.6349373,0.5454545,0.33806527,0.5734214,0.55237746
2010-10-01,0.10900474,0.74917495,0.66144204,0.43333334,0.6659436,0.3877551,0.6493109,0.37074828,0.4592622,0.7734901,0.42400146,0.54797536,0.5513798,0.5928656,0.5622411,0.8635016,0.78184426,0.6349373,0.5578512,0.35222113,0.5141476,0.3647803
2010-11-01,0.20853081,0.93069315,0.79937303,0.62857145,0.7830803,0.44217682,0.7044411,0.28231293,0.76590294,0.76314276,0.20415562,0.76153296,0.5148742,0.48329428,0.46771833,0.7707462,0.70408595,0.6349373,0.49173558,0.54384446,0.59544164,0.55651325
